ItemID,ItemName,Zone,Aisle,Shelf
1129,Portable Monitor,1,2,3
1130,Envelope Sealer,2,3,6
1131,USB Ethernet Adapter,1,1,2
1132,Dryer Sheets,2,4,8
1133,Webcam Cover,1,2,4
1134,Graph Paper,2,3,5
1135,Wireless Adapter,1,1,1
1136,Stain Remover,2,4,7
1137,Stream Deck,1,2,3
1138,Paper Punch,2,3,6
1139,Fiber Optic Cable,1,1,2
1140,Shoe Rack,2,4,8
1141,Laptop Cooler,1,2,4
1142,Calligraphy Set,2,3,5
1143,Bluetooth Adapter,1,1,1
1144,Trash Can Liner,2,4,7
1145,LED Strip,1,2,3
1146,Ink Refill,2,3,6
1147,Coaxial Cable,1,1,2
1148,Storage Bin,2,4,8
1149,Mouse Bungee,1,2,4
1150,Planner Book,2,3,5
1151,Smart Plug,1,1,1
1152,Dish Rack,2,4,7
1153,Cable Sleeve,1,2,3
1154,Tape Measure,2,3,6
1155,Audio Cable,1,1,2
1156,Hangers Pack,2,4,8
1157,Desk Mat,1,2,4
1158,Diary 2026,2,3,5
1159,Power Adapter,1,1,1
1160,Vacuum Bags,2,4,7
1161,Monitor Light Bar,1,2,3
1162,Bookmarks Set,2,3,6
1163,Patch Cable,1,1,2
1164,Cleaning Gloves,2,4,8
1165,Tablet Stand,1,2,4
1166,Correction Fluid,2,3,5
1167,Wireless Dongle,1,1,1
1168,Scrub Brush,2,4,7
1169,USB Fan,1,2,3
1170,Watercolor Set,2,3,6
1171,DVI Cable,1,1,2
1172,Zipper Bags,2,4,8
1173,Wrist Rest,1,2,4
1174,Address Book,2,3,5
1175,Mini Router,1,1,1
1176,Mop Bucket,2,4,7
1177,Laptop Lock,1,2,3
1178,Letter Opener,2,3,6
1179,Phone Cable,1,1,2
1180,Shelf Liner,2,4,8
1181,Cable Clip Set,1,2,4
1182,Tracing Paper,2,3,5
1183,WiFi Extender,1,1,1
1184,Laundry Basket,2,4,7
1185,Screen Cleaner,1,2,3
1186,Gel Pen Set,2,3,6
1187,Micro USB Cable,1,1,2
1188,Closet Organizer,2,4,8
1189,Laptop Backpack,1,2,4
1190,Whiteboard Eraser,2,3,5
1191,Travel Adapter,1,1,1
1192,Feather Duster,2,4,7
1193,Privacy Screen,1,2,3
1194,Stamp Pad,2,3,6
1195,Lightning Cable,1,1,2
1196,Shoe Box,2,4,8
1197,Monitor Riser,1,2,4
1198,Sketch Pencil Set,2,3,5
1199,Portable Charger,1,1,1
1200,UFO,2,3,7
